Date,Open,High,Low,Close,Adj Close,Volume
4/6/23,183.080002,186.389999,179.740005,185.059998,185.059998,123857900
4/10/23,179.940002,185.100006,176.110001,184.509995,184.509995,142154600
4/11/23,186.690002,189.190002,185.649994,186.789993,186.789993,115770900
4/12/23,190.740005,191.580002,180.309998,180.539993,180.539993,150256300
4/13/23,182.960007,186.5,180.940002,185.899994,185.899994,112933000
4/14/23,183.949997,186.279999,182.009995,185,185,96438700
4/17/23,186.320007,189.690002,182.690002,187.039993,187.039993,116662200
4/18/23,187.149994,187.690002,183.580002,184.309998,184.309998,92067000
4/19/23,179.100006,183.5,177.649994,180.589996,180.589996,125732700
4/20/23,166.169998,169.699997,160.559998,162.990005,162.990005,210970800
4/21/23,164.800003,166,161.320007,165.080002,165.080002,123539000
4/24/23,164.649994,165.649994,158.610001,162.550003,162.550003,140006600
4/25/23,159.820007,163.470001,158.75,160.669998,160.669998,121999300
4/26/23,160.289993,160.669998,153.139999,153.75,153.75,153364100
4/27/23,152.639999,160.479996,152.369995,160.190002,160.190002,127015200
4/28/23,160.899994,165,157.320007,164.309998,164.309998,122515800
5/1/23,163.169998,163.279999,158.830002,161.830002,161.830002,109015000
5/2/23,161.880005,165.490005,158.929993,160.309998,160.309998,128259700
5/3/23,160.009995,165,159.910004,160.610001,160.610001,119728000
5/4/23,162.710007,162.949997,159.649994,161.199997,161.199997,95108500
5/5/23,163.970001,170.789993,163.509995,170.059998,170.059998,107440900
5/8/23,173.720001,173.800003,169.190002,171.789993,171.789993,112249400
5/9/23,168.949997,169.820007,166.559998,169.149994,169.149994,88965000
5/10/23,172.550003,174.429993,166.679993,168.539993,168.539993,119840700
5/11/23,168.699997,173.570007,166.789993,172.080002,172.080002,103889900
5/12/23,176.070007,177.380005,167.229996,167.979996,167.979996,157577100
5/15/23,167.660004,169.759995,164.550003,166.350006,166.350006,105592500
5/16/23,165.649994,169.520004,164.350006,166.520004,166.520004,98288800
5/17/23,168.410004,174.5,167.190002,173.860001,173.860001,125473600
5/18/23,174.220001,177.059998,172.449997,176.889999,176.889999,109520300
5/19/23,177.169998,181.949997,176.309998,180.139999,180.139999,136024200
5/22/23,180.699997,189.320007,180.110001,188.869995,188.869995,132001400
5/23/23,186.199997,192.960007,185.259995,185.770004,185.770004,156952100
5/24/23,182.229996,184.220001,178.220001,182.899994,182.899994,137605100
5/25/23,186.539993,186.779999,180.580002,184.470001,184.470001,96870700
5/26/23,184.619995,198.600006,184.529999,193.169998,193.169998,162061500
5/30/23,200.100006,204.479996,197.529999,201.160004,201.160004,128818700
5/31/23,199.779999,203.949997,195.119995,203.929993,203.929993,150711700
6/1/23,202.589996,209.800003,199.369995,207.520004,207.520004,148029900
6/2/23,210.149994,217.25,209.75,213.970001,213.970001,164129000
6/5/23,217.800003,221.289993,214.520004,217.610001,217.610001,151143100
6/6/23,216.139999,221.910004,212.529999,221.309998,221.309998,146911600
6/7/23,228,230.830002,223.199997,224.570007,224.570007,185710800
6/8/23,224.220001,235.229996,223.009995,234.860001,234.860001,164489700
6/9/23,249.070007,252.419998,242.020004,244.399994,244.399994,199882300
6/12/23,247.940002,250.970001,244.589996,249.830002,249.830002,150337900
6/13/23,253.509995,259.679993,251.339996,258.709991,258.709991,162384300
6/14/23,260.170013,261.570007,250.5,256.790009,256.790009,170575500
6/15/23,248.399994,258.950012,247.289993,255.899994,255.899994,160171200
6/16/23,258.920013,263.600006,257.209991,260.540009,260.540009,167563700
6/20/23,261.5,274.75,261.119995,274.450012,274.450012,165611200
6/21/23,275.130005,276.98999,257.779999,259.459991,259.459991,211797100
6/22/23,250.770004,265,248.25,264.609985,264.609985,166875900
6/23/23,259.290009,262.450012,252.800003,256.600006,256.600006,176584100
6/26/23,250.070007,258.369995,240.699997,241.050003,241.050003,179990600
6/27/23,243.240005,250.389999,240.850006,250.210007,250.210007,164968200
6/28/23,249.699997,259.880005,248.889999,256.23999,256.23999,159770800
6/29/23,258.029999,260.73999,253.610001,257.5,257.5,131283400
6/30/23,260.600006,264.450012,259.890015,261.769989,261.769989,112267600
7/3/23,276.48999,284.25,275.109985,279.820007,279.820007,119685900
7/5/23,278.820007,283.850006,277.600006,282.480011,282.480011,131530900
7/6/23,278.089996,279.970001,272.880005,276.540009,276.540009,120332100
7/7/23,278.429993,280.779999,273.769989,274.429993,274.429993,113602000
7/10/23,276.470001,277.519989,265.100006,269.609985,269.609985,119425400
7/11/23,268.649994,270.899994,266.369995,269.790009,269.790009,91972400
7/12/23,276.329987,276.519989,271.459991,271.98999,271.98999,95672100
7/13/23,274.589996,279.450012,270.600006,277.899994,277.899994,112681500
7/14/23,277.01001,285.299988,276.309998,281.380005,281.380005,119771100
7/17/23,286.630005,292.230011,283.570007,290.380005,290.380005,131569600
7/18/23,290.149994,295.26001,286.01001,293.339996,293.339996,112434700
7/19/23,296.040009,299.290009,289.519989,291.26001,291.26001,142355400
7/20/23,279.559998,280.929993,261.200012,262.899994,262.899994,175158300
7/21/23,268,268,255.800003,260.019989,260.019989,161050100
7/24/23,255.850006,269.850006,254.119995,269.059998,269.059998,136508500
7/25/23,272.380005,272.899994,265,265.279999,265.279999,112757300
7/26/23,263.25,268.040009,261.75,264.350006,264.350006,95856200
7/27/23,268.309998,269.130005,255.300003,255.710007,255.710007,103697300
7/28/23,259.859985,267.25,258.230011,266.440002,266.440002,111446000
